"movie", "categ", "winner", "name", "roleOrSong", "note", "year", "oscarNum"
"The Old Man and the Sea", "CINEMATOGRAPHY (Color)", "False", "James Wong Howe", "", "", "1958", "(31st)"
"South Pacific", "CINEMATOGRAPHY (Color)", "False", "Leon Shamroy", "", "", "1958", "(31st)"
"Bell; Book and Candle", "COSTUME DESIGN", "False", "Jean Louis", "", "", "1958", "(31st)"
"The Buccaneer", "COSTUME DESIGN", "False", "Ralph Jester; Edith Head; John Jensen", "", "", "1958", "(31st)"
"A Certain Smile", "COSTUME DESIGN", "False", "Charles LeMaire; Mary Wills", "", "", "1958", "(31st)"
"Gigi", "COSTUME DESIGN", "True", "Cecil Beaton", "", "", "1958", "(31st)"
"Some Came Running", "COSTUME DESIGN", "False", "Walter Plunkett", "", "", "1958", "(31st)"
"Cat on a Hot Tin Roof", "DIRECTING", "False", "Richard Brooks", "", "", "1958", "(31st)"
"The Defiant Ones", "DIRECTING", "False", "Stanley Kramer", "", "", "1958", "(31st)"
"Gigi", "DIRECTING", "True", "Vincente Minnelli", "", "", "1958", "(31st)"
"I Want To Live!", "DIRECTING", "False", "Robert Wise", "", "", "1958", "(31st)"
"The Inn of the Sixth Happiness", "DIRECTING", "False", "Mark Robson", "", "", "1958", "(31st)"
"Antarctic Crossing", "DOCUMENTARY (Feature)", "False", "James Carr; Producer", "", "", "1958", "(31st)"
"The Hidden World", "DOCUMENTARY (Feature)", "False", "Robert Snyder; Producer", "", "", "1958", "(31st)"
"Psychiatric Nursing", "DOCUMENTARY (Feature)", "False", "Nathan Zucker; Producer", "", "", "1958", "(31st)"
"White Wilderness", "DOCUMENTARY (Feature)", "True", "Ben Sharpsteen; Producer", "", "", "1958", "(31st)"
"Ama Girls", "DOCUMENTARY (Short Subject)", "True", "Ben Sharpsteen; Producer", "", "", "1958", "(31st)"
"Employees Only", "DOCUMENTARY (Short Subject)", "False", "Kenneth G. Brown; Producer", "", "", "1958", "(31st)"
"Journey into Spring", "DOCUMENTARY (Short Subject)", "False", "Ian Ferguson; Producer", "", "", "1958", "(31st)"
"The Living Stone", "DOCUMENTARY (Short Subject)", "False", "Tom Daly; Producer", "", "", "1958", "(31st)"
"Overture", "DOCUMENTARY (Short Subject)", "False", "Thorold Dickinson; Producer", "", "", "1958", "(31st)"
"Auntie Mame", "FILM EDITING", "False", "William Ziegler", "", "", "1958", "(31st)"
"Cowboy", "FILM EDITING", "False", "William A. Lyon; Al Clark", "", "", "1958", "(31st)"
"The Defiant Ones", "FILM EDITING", "False", "Frederic Knudtson", "", "", "1958", "(31st)"
"Gigi", "FILM EDITING", "True", "Adrienne Fazan", "", "", "1958", "(31st)"
"I Want To Live!", "FILM EDITING", "False", "William Hornbeck", "", "", "1958", "(31st)"
"Arms and the Man", "FOREIGN LANGUAGE FILM", "False", "West Germany", "", "", "1958", "(31st)"
"La Venganza", "FOREIGN LANGUAGE FILM", "False", "Spain", "", "", "1958", "(31st)"
"My Uncle", "FOREIGN LANGUAGE FILM", "True", "France", "", "", "1958", "(31st)"
"The Road a Year Long", "FOREIGN LANGUAGE FILM", "False", "Yugoslavia", "", "", "1958", "(31st)"
"The Usual Unidentified Thieves", "FOREIGN LANGUAGE FILM", "False", "Italy", "", "", "1958", "(31st)"
"The Big Country", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Jerome Moross", "", "", "1958", "(31st)"
"The Old Man and the Sea", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "True", "Dimitri Tiomkin", "", "", "1958", "(31st)"
"Separate Tables", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "David Raksin", "", "", "1958", "(31st)"
"White Wilderness", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Oliver Wallace", "", "", "1958", "(31st)"
"The Young Lions", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Hugo Friedhofer", "", "", "1958", "(31st)"
"The Bolshoi Ballet", "MUSIC (Scoring of a Musical Picture)", "False", "Yuri Faier; G. Rozhdestvensky", "", "", "1958", "(31st)"
"Damn Yankees", "MUSIC (Scoring of a Musical Picture)", "False", "Ray Heindorf", "", "", "1958", "(31st)"
"Gigi", "MUSIC (Scoring of a Musical Picture)", "True", "Andre Previn", "", "", "1958", "(31st)"
"Mardi Gras", "MUSIC (Scoring of a Musical Picture)", "False", "Lionel Newman", "", "", "1958", "(31st)"
"South Pacific", "MUSIC (Scoring of a Musical Picture)", "False", "Alfred Newman; Ken Darby", "", "", "1958", "(31st)"
"Houseboat", "MUSIC (Song)", "False", "Music and Lyrics by Jay Livingston and Ray Evans", "Almost in Your Arms", "", "1958", "(31st)"
"A Certain Smile", "MUSIC (Song)", "False", "Music by Sammy Fain; Lyrics by Paul Francis Webster", "A Certain Smile", "", "1958", "(31st)"
"Gigi", "MUSIC (Song)", "True", "Music by Frederick Loewe; Lyrics by Alan Jay Lerner", "Gigi", "", "1958", "(31st)"
"Some Came Running", "MUSIC (Song)", "False", "Music by James Van Heusen; Lyrics by Sammy Cahn", "To Love and Be Loved", "", "1958", "(31st)"
"Marjorie Morningstar", "MUSIC (Song)", "False", "Music by Sammy Fain; Lyrics by Paul Francis Webster", "A Very Precious Love", "", "1958", "(31st)"
"Auntie Mame", "BEST MOTION PICTURE", "False", "Warner Bros.", "", "", "1958", "(31st)"
"Cat on a Hot Tin Roof", "BEST MOTION PICTURE", "False", "Lawrence Weingarten; Producer", "", "", "1958", "(31st)"
"The Defiant Ones", "BEST MOTION PICTURE", "False", "Stanley Kramer; Producer", "", "", "1958", "(31st)"
"Gigi", "BEST MOTION PICTURE", "True", "Arthur Freed; Producer", "", "", "1958", "(31st)"
"Separate Tables", "BEST MOTION PICTURE", "False", "Harold Hecht; Producer", "", "", "1958", "(31st)"
"Knighty Knight Bugs", "SHORT SUBJECT (Cartoon)", "True", "John W. Burton; Producer", "", "", "1958", "(31st)"
"Paul Bunyan", "SHORT SUBJECT (Cartoon)", "False", "Walt Disney; Producer", "", "", "1958", "(31st)"
"Sidney's Family Tree", "SHORT SUBJECT (Cartoon)", "False", "William M. Weiss; Producer", "", "", "1958", "(31st)"
"Grand Canyon", "SHORT SUBJECT (Live Action)", "True", "Walt Disney; Producer", "", "", "1958", "(31st)"
"Journey into Spring", "SHORT SUBJECT (Live Action)", "False", "Ian Ferguson; Producer", "", "", "1958", "(31st)"
"The Kiss", "SHORT SUBJECT (Live Action)", "False", "John Patrick Hayes; Producer", "", "", "1958", "(31st)"
"Snows of Aorangi", "SHORT SUBJECT (Live Action)", "False", "New Zealand Screen Board", "", "", "1958", "(31st)"
"T Is for Tumbleweed", "SHORT SUBJECT (Live Action)", "False", "James A. Lebenthal; Producer", "", "", "1958", "(31st)"
"I Want To Live!", "SOUND", "False", "Samuel Goldwyn Studio Sound Department; Gordon E. Sawyer; Sound Director", "", "", "1958", "(31st)"
"South Pacific", "SOUND", "True", "Todd-AO Sound Department; Fred Hynes; Sound Director", "", "", "1958", "(31st)"
"A Time to Love and a Time to Die", "SOUND", "False", "Universal-International Studio Sound Department; Leslie I. Carey; Sound Director", "", "", "1958", "(31st)"
"Vertigo", "SOUND", "False", "Paramount Studio Sound Department; George Dutton; Sound Director", "", "", "1958", "(31st)"
"The Young Lions", "SOUND", "False", "20th Century-Fox Studio Sound Department; Carl Faulkner; Sound Director", "", "", "1958", "(31st)"
"tom thumb", "SPECIAL EFFECTS", "True", "Visual Effects by Tom Howard", "", "", "1958", "(31st)"
"Torpedo Run", "SPECIAL EFFECTS", "False", "Visual Effects by A. Arnold Gillespie; Audible Effects by Harold Humbrock", "", "", "1958", "(31st)"
"Cat on a Hot Tin Roof", "WRITING (Screenplay--based on material from another medium)", "False", "Richard Brooks; James Poe", "", "", "1958", "(31st)"
"Gigi", "WRITING (Screenplay--based on material from another medium)", "True", "Alan Jay Lerner", "", "", "1958", "(31st)"
"The Horse's Mouth", "WRITING (Screenplay--based on material from another medium)", "False", "Alec Guinness", "", "", "1958", "(31st)"
"I Want To Live!", "WRITING (Screenplay--based on material from another medium)", "False", "Nelson Gidding; Don Mankiewicz", "", "", "1958", "(31st)"
"Separate Tables", "WRITING (Screenplay--based on material from another medium)", "False", "Terence Rattigan; John Gay", "", "", "1958", "(31st)"
"The Defiant Ones", "WRITING (Story and Screenplay--written directly for the screen)", "True", "Nedrick Young; Harold Jacob Smith", "", "[NOTE: Upon request of his widow and upon recommendation of the Writers Branch Executive Committee; the Board of Governors voted on June 22; 1993; to restore the name of Nedrick Young to the nominations and award presented to Nathan E. Douglas (Mr. Young's pseudonym during the blacklisting period).]", "1958", "(31st)"
"The Goddess", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Paddy Chayefsky", "", "", "1958", "(31st)"
"Houseboat", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Melville Shavelson; Jack Rose", "", "", "1958", "(31st)"
"The Sheepman", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Story by James Edward Grant; Screenplay by William Bowers; James Edward Grant", "", "", "1958", "(31st)"
"Teacher's Pet", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Fay Kanin; Michael Kanin", "", "", "1958", "(31st)"
"Room at the Top", "ACTOR", "False", "Laurence Harvey", "Joe Lampton", "", "1959", "(32nd)"
"Ben-Hur", "ACTOR", "True", "Charlton Heston", "Judah Ben-Hur", "", "1959", "(32nd)"
"Some Like It Hot", "ACTOR", "False", "Jack Lemmon", "Jerry/Daphne", "", "1959", "(32nd)"
"The Last Angry Man", "ACTOR", "False", "Paul Muni", "Dr. Sam Abelman", "", "1959", "(32nd)"
"Anatomy of a Murder", "ACTOR", "False", "James Stewart", "Paul Biegler", "", "1959", "(32nd)"
"Ben-Hur", "ACTOR IN A SUPPORTING ROLE", "True", "Hugh Griffith", "Sheik Ilderim", "", "1959", "(32nd)"
"Anatomy of a Murder", "ACTOR IN A SUPPORTING ROLE", "False", "Arthur O'Connell", "Parnell McCarthy", "", "1959", "(32nd)"
"Anatomy of a Murder", "ACTOR IN A SUPPORTING ROLE", "False", "George C. Scott", "Claude Dancer", "", "1959", "(32nd)"
"The Young Philadelphians", "ACTOR IN A SUPPORTING ROLE", "False", "Robert Vaughn", "Chester Gwynn", "", "1959", "(32nd)"
"The Diary of Anne Frank", "ACTOR IN A SUPPORTING ROLE", "False", "Ed Wynn", "Mr. Dussell", "", "1959", "(32nd)"
"Pillow Talk", "ACTRESS", "False", "Doris Day", "Jan Morrow", "", "1959", "(32nd)"
"The Nun's Story", "ACTRESS", "False", "Audrey Hepburn", "Sister Luke", "", "1959", "(32nd)"
"Suddenly; Last Summer", "ACTRESS", "False", "Katharine Hepburn", "Mrs. Venable", "", "1959", "(32nd)"
"Room at the Top", "ACTRESS", "True", "Simone Signoret", "Alice Aisgill", "", "1959", "(32nd)"
"Suddenly; Last Summer", "ACTRESS", "False", "Elizabeth Taylor", "Catherine Holly", "", "1959", "(32nd)"
"Room at the Top", "ACTRESS IN A SUPPORTING ROLE", "False", "Hermione Baddeley", "Elspeth", "", "1959", "(32nd)"
"Imitation of Life", "ACTRESS IN A SUPPORTING ROLE", "False", "Susan Kohner", "Sarah Jane (age 18)", "", "1959", "(32nd)"
"Imitation of Life", "ACTRESS IN A SUPPORTING ROLE", "False", "Juanita Moore", "Annie Johnson", "", "1959", "(32nd)"
"Pillow Talk", "ACTRESS IN A SUPPORTING ROLE", "False", "Thelma Ritter", "Alma", "", "1959", "(32nd)"
"The Diary of Anne Frank", "ACTRESS IN A SUPPORTING ROLE", "True", "Shelley Winters", "Mrs. Van Daan", "", "1959", "(32nd)"
"Career", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Hal Pereira; Walter Tyler; Set Decoration: Sam Comer; Arthur Krams", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "ART DIRECTION (Black-and-White)", "True", "Art Direction: Lyle R. Wheeler; George W. Davis; Set Decoration: Walter M. Scott; Stuart A. Reiss", "", "", "1959", "(32nd)"
"The Last Angry Man", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Carl Anderson; Set Decoration: William Kiernan", "", "", "1959", "(32nd)"
"Some Like It Hot", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Ted Haworth; Set Decoration: Edward G. Boyle", "", "", "1959", "(32nd)"
"Suddenly; Last Summer", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Oliver Messel; William Kellner; Set Decoration: Scot Slimon", "", "", "1959", "(32nd)"
"Ben-Hur", "ART DIRECTION (Color)", "True", "Art Direction: William A. Horning; Edward Carfagno; Set Decoration: Hugh Hunt", "", "", "1959", "(32nd)"
"The Big Fisherman", "ART DIRECTION (Color)", "False", "Art Direction: John DeCuir; Set Decoration: Julia Heron", "", "", "1959", "(32nd)"
"Journey to the Center of the Earth", "ART DIRECTION (Color)", "False", "Art Direction: Lyle R. Wheeler; Franz Bachelin; Herman A. Blumenthal; Set Decoration: Walter M. Scott; Joseph Kish", "", "", "1959", "(32nd)"
"North by Northwest", "ART DIRECTION (Color)", "False", "Art Direction: William A. Horning; Robert Boyle; Merrill Pye; Set Decoration: Henry Grace; Frank McKelvy", "", "", "1959", "(32nd)"
"Pillow Talk", "ART DIRECTION (Color)", "False", "Art Direction: Richard H. Riedel; Set Decoration: Russell A. Gausman; Ruby R. Levitt", "", "", "1959", "(32nd)"
"Anatomy of a Murder", "CINEMATOGRAPHY (Black-and-White)", "False", "Sam Leavitt", "", "", "1959", "(32nd)"
"Career", "CINEMATOGRAPHY (Black-and-White)", "False", "Joseph LaShelle", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "CINEMATOGRAPHY (Black-and-White)", "True", "William C. Mellor", "", "", "1959", "(32nd)"
"Some Like It Hot", "CINEMATOGRAPHY (Black-and-White)", "False", "Charles Lang; Jr.", "", "", "1959", "(32nd)"
"The Young Philadelphians", "CINEMATOGRAPHY (Black-and-White)", "False", "Harry Stradling; Sr.", "", "", "1959", "(32nd)"
"Ben-Hur", "CINEMATOGRAPHY (Color)", "True", "Robert L. Surtees", "", "", "1959", "(32nd)"
"The Big Fisherman", "CINEMATOGRAPHY (Color)", "False", "Lee Garmes", "", "", "1959", "(32nd)"
"The Five Pennies", "CINEMATOGRAPHY (Color)", "False", "Daniel L. Fapp", "", "", "1959", "(32nd)"
"The Nun's Story", "CINEMATOGRAPHY (Color)", "False", "Franz Planer", "", "", "1959", "(32nd)"
"Porgy and Bess", "CINEMATOGRAPHY (Color)", "False", "Leon Shamroy", "", "", "1959", "(32nd)"
"Career", "COSTUME DESIGN (Black-and-White)", "False", "Edith Head", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "COSTUME DESIGN (Black-and-White)", "False", "Charles LeMaire; Mary Wills", "", "", "1959", "(32nd)"
"The Gazebo", "COSTUME DESIGN (Black-and-White)", "False", "Helen Rose", "", "", "1959", "(32nd)"
"Some Like It Hot", "COSTUME DESIGN (Black-and-White)", "True", "Orry-Kelly", "", "", "1959", "(32nd)"
"The Young Philadelphians", "COSTUME DESIGN (Black-and-White)", "False", "Howard Shoup", "", "", "1959", "(32nd)"
"Ben-Hur", "COSTUME DESIGN (Color)", "True", "Elizabeth Haffenden", "", "", "1959", "(32nd)"
"The Best of Everything", "COSTUME DESIGN (Color)", "False", "Adele Palmer", "", "", "1959", "(32nd)"
"The Big Fisherman", "COSTUME DESIGN (Color)", "False", "Renie", "", "", "1959", "(32nd)"
"The Five Pennies", "COSTUME DESIGN (Color)", "False", "Edith Head", "", "", "1959", "(32nd)"
"Porgy and Bess", "COSTUME DESIGN (Color)", "False", "Irene Sharaff", "", "", "1959", "(32nd)"
"Ben-Hur", "DIRECTING", "True", "William Wyler", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "DIRECTING", "False", "George Stevens", "", "", "1959", "(32nd)"
"The Nun's Story", "DIRECTING", "False", "Fred Zinnemann", "", "", "1959", "(32nd)"
"Room at the Top", "DIRECTING", "False", "Jack Clayton", "", "", "1959", "(32nd)"
"Some Like It Hot", "DIRECTING", "False", "Billy Wilder", "", "", "1959", "(32nd)"
"The Race for Space", "DOCUMENTARY (Feature)", "False", "David L. Wolper; Producer", "", "", "1959", "(32nd)"
"Serengeti Shall Not Die", "DOCUMENTARY (Feature)", "True", "Bernhard Grzimek; Producer", "", "", "1959", "(32nd)"
"Donald in Mathmagic Land", "DOCUMENTARY (Short Subject)", "False", "Walt Disney; Producer", "", "", "1959", "(32nd)"
"From Generation to Generation", "DOCUMENTARY (Short Subject)", "False", "Edward F. Cullen; Producer", "", "", "1959", "(32nd)"
"Glass", "DOCUMENTARY (Short Subject)", "True", "Bert Haanstra; Producer", "", "", "1959", "(32nd)"
"Anatomy of a Murder", "FILM EDITING", "False", "Louis R. Loeffler", "", "", "1959", "(32nd)"
"Ben-Hur", "FILM EDITING", "True", "Ralph E. Winters; John D. Dunning", "", "", "1959", "(32nd)"
"North by Northwest", "FILM EDITING", "False", "George Tomasini", "", "", "1959", "(32nd)"
"The Nun's Story", "FILM EDITING", "False", "Walter Thompson", "", "", "1959", "(32nd)"
"On the Beach", "FILM EDITING", "False", "Frederic Knudtson", "", "", "1959", "(32nd)"
"Black Orpheus", "FOREIGN LANGUAGE FILM", "True", "France", "", "", "1959", "(32nd)"
"The Bridge", "FOREIGN LANGUAGE FILM", "False", "West Germany", "", "", "1959", "(32nd)"
"The Great War", "FOREIGN LANGUAGE FILM", "False", "Italy", "", "", "1959", "(32nd)"
"Paw", "FOREIGN LANGUAGE FILM", "False", "Denmark", "", "", "1959", "(32nd)"
"The Village on the River", "FOREIGN LANGUAGE FILM", "False", "The Netherlands", "", "", "1959", "(32nd)"
"Ben-Hur", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "True", "Miklos Rozsa", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Alfred Newman", "", "", "1959", "(32nd)"
"The Nun's Story", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Franz Waxman", "", "", "1959", "(32nd)"
"On the Beach", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Ernest Gold", "", "", "1959", "(32nd)"
"Pillow Talk", "MUSIC (Music Score of a Dramatic or Comedy Picture)", "False", "Frank DeVol", "", "", "1959", "(32nd)"
"The Five Pennies", "MUSIC (Scoring of a Musical Picture)", "False", "Leith Stevens", "", "", "1959", "(32nd)"
"Li'l Abner", "MUSIC (Scoring of a Musical Picture)", "False", "Nelson Riddle; Joseph J. Lilley", "", "", "1959", "(32nd)"
"Porgy and Bess", "MUSIC (Scoring of a Musical Picture)", "True", "Andre Previn; Ken Darby", "", "", "1959", "(32nd)"
"Say One for Me", "MUSIC (Scoring of a Musical Picture)", "False", "Lionel Newman", "", "", "1959", "(32nd)"
"Sleeping Beauty", "MUSIC (Scoring of a Musical Picture)", "False", "George Bruns", "", "", "1959", "(32nd)"
"The Best of Everything", "MUSIC (Song)", "False", "Music by Alfred Newman; Lyrics by Sammy Cahn", "The Best of Everything", "", "1959", "(32nd)"
"The Five Pennies", "MUSIC (Song)", "False", "Music and Lyrics by Sylvia Fine", "The Five Pennies", "", "1959", "(32nd)"
"The Hanging Tree", "MUSIC (Song)", "False", "Music by Jerry Livingston; Lyrics by Mack David", "The Hanging Tree", "", "1959", "(32nd)"
"A Hole in the Head", "MUSIC (Song)", "True", "Music by James Van Heusen; Lyrics by Sammy Cahn", "High Hopes", "", "1959", "(32nd)"
"The Young Land", "MUSIC (Song)", "False", "Music by Dimitri Tiomkin; Lyrics by Ned Washington", "Strange Are the Ways of Love", "", "1959", "(32nd)"
"Anatomy of a Murder", "BEST MOTION PICTURE", "False", "Otto Preminger; Producer", "", "", "1959", "(32nd)"
"Ben-Hur", "BEST MOTION PICTURE", "True", "Sam Zimbalist; Producer", "", "", "1959", "(32nd)"
"The Diary of Anne Frank", "BEST MOTION PICTURE", "False", "George Stevens; Producer", "", "", "1959", "(32nd)"
"The Nun's Story", "BEST MOTION PICTURE", "False", "Henry Blanke; Producer", "", "", "1959", "(32nd)"
"Room at the Top", "BEST MOTION PICTURE", "False", "John Woolf and James Woolf; Producers", "", "", "1959", "(32nd)"
"Mexicali Shmoes", "SHORT SUBJECT (Cartoon)", "False", "John W. Burton; Producer", "", "", "1959", "(32nd)"
"Moonbird", "SHORT SUBJECT (Cartoon)", "True", "John Hubley; Producer", "", "", "1959", "(32nd)"
"Noah's Ark", "SHORT SUBJECT (Cartoon)", "False", "Walt Disney; Producer", "", "", "1959", "(32nd)"
"The Violinist", "SHORT SUBJECT (Cartoon)", "False", "Ernest Pintoff; Producer", "", "", "1959", "(32nd)"
"Between the Tides", "SHORT SUBJECT (Live Action)", "False", "Ian Ferguson; Producer", "", "", "1959", "(32nd)"
"The Golden Fish", "SHORT SUBJECT (Live Action)", "True", "Jacques-Yves Cousteau; Producer", "", "", "1959", "(32nd)"
"Mysteries of the Deep", "SHORT SUBJECT (Live Action)", "False", "Walt Disney; Producer", "", "", "1959", "(32nd)"
"The Running; Jumping and Standing-Still Film", "SHORT SUBJECT (Live Action)", "False", "Peter Sellers; Producer", "", "", "1959", "(32nd)"
"Skyscraper", "SHORT SUBJECT (Live Action)", "False", "Shirley Clarke; Willard Van Dyke and Irving Jacoby; Producers", "", "", "1959", "(32nd)"
"Ben-Hur", "SOUND", "True", "Metro-Goldwyn-Mayer Studio Sound Department; Franklin E. Milton; Sound Director", "", "", "1959", "(32nd)"
"Journey to the Center of the Earth", "SOUND", "False", "20th Century-Fox Studio Sound Department; Carl Faulkner; Sound Director", "", "", "1959", "(32nd)"
"Libel!", "SOUND", "False", "Metro-Goldwyn-Mayer London Studio Sound Department; A. W. Watkins; Sound Director", "", "", "1959", "(32nd)"
"The Nun's Story", "SOUND", "False", "Warner Bros. Studio Sound Department; George R. Groves; Sound Director", "", "", "1959", "(32nd)"
"Porgy and Bess", "SOUND", "False", "Samuel Goldwyn Studio Sound Department; Gordon E. Sawyer; Sound Director; and Todd-AO Sound Department; Fred Hynes; Sound Director", "", "", "1959", "(32nd)"
"Ben-Hur", "SPECIAL EFFECTS", "True", "Visual Effects by A. Arnold Gillespie; Robert MacDonald; Audible Effects by Milo Lory", "", "", "1959", "(32nd)"
"Journey to the Center of the Earth", "SPECIAL EFFECTS", "False", "Visual Effects by L. B. Abbott; James B. Gordon; Audible Effects by Carl Faulkner", "", "", "1959", "(32nd)"
"Anatomy of a Murder", "WRITING (Screenplay--based on material from another medium)", "False", "Wendell Mayes", "", "", "1959", "(32nd)"
"Ben-Hur", "WRITING (Screenplay--based on material from another medium)", "False", "Karl Tunberg", "", "", "1959", "(32nd)"
"The Nun's Story", "WRITING (Screenplay--based on material from another medium)", "False", "Robert Anderson", "", "", "1959", "(32nd)"
"Room at the Top", "WRITING (Screenplay--based on material from another medium)", "True", "Neil Paterson", "", "", "1959", "(32nd)"
"Some Like It Hot", "WRITING (Screenplay--based on material from another medium)", "False", "Billy Wilder; I. A. L. Diamond", "", "", "1959", "(32nd)"
"The 400 Blows", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Francois Truffaut; Marcel Moussy", "", "", "1959", "(32nd)"
"North by Northwest", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Ernest Lehman", "", "", "1959", "(32nd)"
"Operation Petticoat", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Story by Paul King; Joseph Stone; Screenplay by Stanley Shapiro; Maurice Richlin", "", "", "1959", "(32nd)"
"Pillow Talk", "WRITING (Story and Screenplay--written directly for the screen)", "True", "Story by Russell Rouse; Clarence Greene; Screenplay by Stanley Shapiro; Maurice Richlin", "", "", "1959", "(32nd)"
"Wild Strawberries", "WRITING (Story and Screenplay--written directly for the screen)", "False", "Ingmar Bergman", "", "", "1959", "(32nd)"
"Sons and Lovers", "ACTOR", "False", "Trevor Howard", "Morel", "", "1960", "(33rd)"
"Elmer Gantry", "ACTOR", "True", "Burt Lancaster", "Elmer Gantry", "", "1960", "(33rd)"
"The Apartment", "ACTOR", "False", "Jack Lemmon", "C.C. 'Bud' Baxter", "", "1960", "(33rd)"
"The Entertainer", "ACTOR", "False", "Laurence Olivier", "Archie Rice", "", "1960", "(33rd)"
"Inherit the Wind", "ACTOR", "False", "Spencer Tracy", "Henry Drummond", "", "1960", "(33rd)"
"Murder; Inc.", "ACTOR IN A SUPPORTING ROLE", "False", "Peter Falk", "Abe Reles", "", "1960", "(33rd)"
"The Apartment", "ACTOR IN A SUPPORTING ROLE", "False", "Jack Kruschen", "Dr. Dreyfuss", "", "1960", "(33rd)"
"Exodus", "ACTOR IN A SUPPORTING ROLE", "False", "Sal Mineo", "Dov Landau", "", "1960", "(33rd)"
"Spartacus", "ACTOR IN A SUPPORTING ROLE", "True", "Peter Ustinov", "Batiatus", "", "1960", "(33rd)"
"The Alamo", "ACTOR IN A SUPPORTING ROLE", "False", "Chill Wills", "Beekeeper", "", "1960", "(33rd)"
"Sunrise at Campobello", "ACTRESS", "False", "Greer Garson", "Eleanor Roosevelt", "", "1960", "(33rd)"
"The Sundowners", "ACTRESS", "False", "Deborah Kerr", "Ida Carmody", "", "1960", "(33rd)"
"The Apartment", "ACTRESS", "False", "Shirley MacLaine", "Fran Kubelik", "", "1960", "(33rd)"
"Never on Sunday", "ACTRESS", "False", "Melina Mercouri", "Ilya", "", "1960", "(33rd)"
"Butterfield 8", "ACTRESS", "True", "Elizabeth Taylor", "Gloria Wandrous", "", "1960", "(33rd)"
"The Sundowners", "ACTRESS IN A SUPPORTING ROLE", "False", "Glynis Johns", "Mrs. Firth", "", "1960", "(33rd)"
"Elmer Gantry", "ACTRESS IN A SUPPORTING ROLE", "True", "Shirley Jones", "Lulu Baines", "", "1960", "(33rd)"
"The Dark at the Top of the Stairs", "ACTRESS IN A SUPPORTING ROLE", "False", "Shirley Knight", "Reenie", "", "1960", "(33rd)"
"Psycho", "ACTRESS IN A SUPPORTING ROLE", "False", "Janet Leigh", "Marion Crane", "", "1960", "(33rd)"
"Sons and Lovers", "ACTRESS IN A SUPPORTING ROLE", "False", "Mary Ure", "Clara Dawes", "", "1960", "(33rd)"
"The Apartment", "ART DIRECTION (Black-and-White)", "True", "Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle", "", "", "1960", "(33rd)"
"The Facts of Life", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Joseph McMillan Johnson; Kenneth A. Reid; Set Decoration: Ross Dowd", "", "", "1960", "(33rd)"
"Psycho", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Joseph Hurley; Robert Clatworthy; Set Decoration: George Milo", "", "", "1960", "(33rd)"
"Sons and Lovers", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Tom Morahan; Set Decoration: Lionel Couch", "", "", "1960", "(33rd)"
"Visit to a Small Planet", "ART DIRECTION (Black-and-White)", "False", "Art Direction: Hal Pereira; Walter Tyler; Set Decoration: Sam Comer; Arthur Krams", "", "", "1960", "(33rd)"
"Cimarron", "ART DIRECTION (Color)", "False", "Art Direction: George W. Davis; Addison Hehr; Set Decoration: Henry Grace; Hugh Hunt; Otto Siegel", "", "", "1960", "(33rd)"
"It Started in Naples", "ART DIRECTION (Color)", "False", "Art Direction: Hal Pereira; Roland Anderson; Set Decoration: Sam Comer; Arrigo Breschi", "", "", "1960", "(33rd)"
"Pepe", "ART DIRECTION (Color)", "False", "Art Direction: Ted Haworth; Set Decoration: William Kiernan", "", "", "1960", "(33rd)"
"Spartacus", "ART DIRECTION (Color)", "True", "Art Direction: Alexander Golitzen; Eric Orbom; Set Decoration: Russell A. Gausman; Julia Heron", "", "", "1960", "(33rd)"
"Sunrise at Campobello", "ART DIRECTION (Color)", "False", "Art Direction: Edward Carrere; Set Decoration: George James Hopkins", "", "", "1960", "(33rd)"
